name,score,penalty_time,participant_url,programming_language
Gennady.Korotkevich,158,4:06:45,https://codingcompetitions.withgoogle.com/codejam/submissions/000000000087762e/000000000061e0be,C++17 (G++)
jiangly,150,3:33:47,https://codingcompetitions.withgoogle.com/codejam/submissions/000000000087762e/0000000000617630,C++17 (G++)
ksun48,134,3:12:01,https://codingcompetitions.withgoogle.com/codejam/submissions/000000000087762e/000000000061e4c0,C++17 (G++)
ecnerwala,134,3:53:30,https://codingcompetitions.withgoogle.com/codejam/submissions/000000000087762e/000000000055e396,C++17 (G++)
mnbvmar,123,3:59:42,https://codingcompetitions.withgoogle.com/codejam/submissions/000000000087762e/0000000000583248,C++17 (G++)
Benq,116,3:02:19,https://codingcompetitions.withgoogle.com/codejam/submissions/000000000087762e/00000000004c4816,C++17 (G++)
Snuke,116,4:11:09,https://codingcompetitions.withgoogle.com/codejam/submissions/000000000087762e/00000000005bf7c6,C++17 (G++)
Golovanov399,115,2:43:15,https://codingcompetitions.withgoogle.com/codejam/submissions/000000000087762e/000000000050f054,C++17 (G++)
Um_nik,108,3:07:55,https://codingcompetitions.withgoogle.com/codejam/submissions/000000000087762e/00000000005947c8,C++17 (G++)
CauchySheep,102,4:12:21,https://codingcompetitions.withgoogle.com/codejam/submissions/000000000087762e/0000000000922a49,C++17 (G++)
xll114514,92,4:18:45,https://codingcompetitions.withgoogle.com/codejam/submissions/000000000087762e/00000000004e6684,C++17 (G++)
y0105w49,91,4:15:52,https://codingcompetitions.withgoogle.com/codejam/submissions/000000000087762e/00000000004c4cc2,C++17 (G++)
Radewoosh,84,2:49:49,https://codingcompetitions.withgoogle.com/codejam/submissions/000000000087762e/00000000005b47fe,C++17 (G++)
ImBarD,80,2:52:28,https://codingcompetitions.withgoogle.com/codejam/submissions/000000000087762e/0000000000500d32,C++17 (G++)
mhq,76,1:55:44,https://codingcompetitions.withgoogle.com/codejam/submissions/000000000087762e/0000000000582e9a,C++17 (G++)
yutaka1999,73,3:58:55,https://codingcompetitions.withgoogle.com/codejam/submissions/000000000087762e/0000000000622052,C++17 (G++)
ACRushTC,68,3:12:44,https://codingcompetitions.withgoogle.com/codejam/submissions/000000000087762e/00000000004836dc,C++17 (G++)
simonlindholm,57,3:21:16,https://codingcompetitions.withgoogle.com/codejam/submissions/000000000087762e/0000000000627e10,C++17 (G++)
qwerty787788,57,3:38:53,https://codingcompetitions.withgoogle.com/codejam/submissions/000000000087762e/00000000004d2f10,Rust
molamola,52,3:09:17,https://codingcompetitions.withgoogle.com/codejam/submissions/000000000087762e/00000000004caece,C++17 (G++)
zemen,41,2:15:22,https://codingcompetitions.withgoogle.com/codejam/submissions/000000000087762e/0000000000527f70,C++17 (G++)
lumibons,41,2:19:46,https://codingcompetitions.withgoogle.com/codejam/submissions/000000000087762e/000000000057b798,C++17 (G++)
BigBag,30,0:37:46,https://codingcompetitions.withgoogle.com/codejam/submissions/000000000087762e/000000000061848a,C++17 (G++)
NyaanNyaan,30,0:58:05,https://codingcompetitions.withgoogle.com/codejam/submissions/000000000087762e/00000000006fb1c2,C++17 (G++)
dacin21,19,3:54:37,https://codingcompetitions.withgoogle.com/codejam/submissions/000000000087762e/000000000052fd84,User has no attempts for this task
KalininN,11,2:19:20,https://codingcompetitions.withgoogle.com/codejam/submissions/000000000087762e/0000000000533daa,C++17 (G++)
